# schema source: Upbound AWS Provider v2.6.0 https://github.com/crossplane-contrib/provider-upjet-aws
apiVersion <string> enum=glue.aws.m.upbound.io/v1beta1
kind <string> enum=CatalogDatabase
metadata.name <string> (required)
metadata.namespace <string> (required)
spec <object> (required)	# CatalogDatabaseSpec defines the desired state of CatalogDatabase
spec.forProvider <object> (required)
spec.forProvider.catalogId <string> (required)	# ID of the Glue Catalog to create the database in. If omitted, this defaults to the AWS Account ID.
spec.forProvider.createTableDefaultPermission <[]object>	# Creates a set of default permissions on the table for principals. See create_table_default_permission below.
spec.forProvider.createTableDefaultPermission[].permissions <[]string>	# The permissions that are granted to the principal.
spec.forProvider.createTableDefaultPermission[].principal <object>	# The principal who is granted permissions.. See principal below.
spec.forProvider.createTableDefaultPermission[].principal.dataLakePrincipalIdentifier <string>	# An identifier for the Lake Formation principal.
spec.forProvider.description <string>	# Description of the database.
spec.forProvider.federatedDatabase <object>	# Configuration block that references an entity outside the AWS Glue Data Catalog. See federated_database below.
spec.forProvider.federatedDatabase.connectionName <string>	# Name of the connection to the external metastore.
spec.forProvider.federatedDatabase.identifier <string>	# Unique identifier for the federated database.
spec.forProvider.locationUri <string>	# Location of the database (for example, an HDFS path).
spec.forProvider.parameters <map[string]string>	# List of key-value pairs that define parameters and properties of the database.
spec.forProvider.region <string> (required)	# Region where this resource will be managed. Defaults to the Region set in the provider configuration. Region is the region you'd like your resource to be created in.
spec.forProvider.tags <map[string]string>	# Key-value map of resource tags.
spec.forProvider.targetDatabase <object>	# Configuration block for a target database for resource linking. See target_database below.
spec.forProvider.targetDatabase.catalogId <string> (required)	# ID of the Data Catalog in which the database resides.
spec.forProvider.targetDatabase.databaseName <string>	# Name of the catalog database.
spec.forProvider.targetDatabase.region <string>	# Region of the target database.
spec.initProvider <object>	# THIS IS A BETA FIELD. It will be honored unless the Management Policies feature flag is disabled. InitProvider holds the same fields as ForProvider, with the exception of Identifier and other resource reference fields. The fields that are in InitProvider are merged into ForProvider when the resource is created. The same fields are also added to the terraform ignore_changes hook, to avoid updating them after creation. This is useful for fields that are required on creation, but we do not desire to update them after creation, for example because of an external controller is managing them, like an autoscaler.
spec.initProvider.createTableDefaultPermission <[]object>	# Creates a set of default permissions on the table for principals. See create_table_default_permission below.
spec.initProvider.createTableDefaultPermission[].permissions <[]string>	# The permissions that are granted to the principal.
spec.initProvider.createTableDefaultPermission[].principal <object>	# The principal who is granted permissions.. See principal below.
spec.initProvider.createTableDefaultPermission[].principal.dataLakePrincipalIdentifier <string>	# An identifier for the Lake Formation principal.
spec.initProvider.description <string>	# Description of the database.
spec.initProvider.federatedDatabase <object>	# Configuration block that references an entity outside the AWS Glue Data Catalog. See federated_database below.
spec.initProvider.federatedDatabase.connectionName <string>	# Name of the connection to the external metastore.
spec.initProvider.federatedDatabase.identifier <string>	# Unique identifier for the federated database.
spec.initProvider.locationUri <string>	# Location of the database (for example, an HDFS path).
spec.initProvider.parameters <map[string]string>	# List of key-value pairs that define parameters and properties of the database.
spec.initProvider.tags <map[string]string>	# Key-value map of resource tags.
spec.initProvider.targetDatabase <object>	# Configuration block for a target database for resource linking. See target_database below.
spec.initProvider.targetDatabase.databaseName <string>	# Name of the catalog database.
spec.managementPolicies <[]string> default=["*"]	# THIS IS A BETA FIELD. It is on by default but can be opted out through a Crossplane feature flag. ManagementPolicies specify the array of actions Crossplane is allowed to take on the managed and external resources. See the design doc for more information: https://github.com/crossplane/crossplane/blob/499895a25d1a1a0ba1604944ef98ac7a1a71f197/design/design-doc-observe-only-resources.md?plain=1#L223 and this one: https://github.com/crossplane/crossplane/blob/444267e84783136daa93568b364a5f01228cacbe/design/one-pager-ignore-changes.md
spec.providerConfigRef <object> default={"kind":"ClusterProviderConfig","name":"default"}	# ProviderConfigReference specifies how the provider that will be used to create, observe, update, and delete this managed resource should be configured.
spec.providerConfigRef.kind <string> (required)	# Kind of the referenced object.
spec.providerConfigRef.name <string> (required)	# Name of the referenced object.
spec.writeConnectionSecretToRef <object>	# WriteConnectionSecretToReference specifies the namespace and name of a Secret to which any connection details for this managed resource should be written. Connection details frequently include the endpoint, username, and password required to connect to the managed resource.
spec.writeConnectionSecretToRef.name <string> (required)	# Name of the secret.
status <object>	# CatalogDatabaseStatus defines the observed state of CatalogDatabase.
status.atProvider <object>
status.atProvider.arn <string>	# ARN of the Glue Catalog Database.
status.atProvider.catalogId <string>	# ID of the Glue Catalog to create the database in. If omitted, this defaults to the AWS Account ID.
status.atProvider.createTableDefaultPermission <[]object>	# Creates a set of default permissions on the table for principals. See create_table_default_permission below.
status.atProvider.createTableDefaultPermission[].permissions <[]string>	# The permissions that are granted to the principal.
status.atProvider.createTableDefaultPermission[].principal <object>	# The principal who is granted permissions.. See principal below.
status.atProvider.createTableDefaultPermission[].principal.dataLakePrincipalIdentifier <string>	# An identifier for the Lake Formation principal.
status.atProvider.description <string>	# Description of the database.
status.atProvider.federatedDatabase <object>	# Configuration block that references an entity outside the AWS Glue Data Catalog. See federated_database below.
status.atProvider.federatedDatabase.connectionName <string>	# Name of the connection to the external metastore.
status.atProvider.federatedDatabase.identifier <string>	# Unique identifier for the federated database.
status.atProvider.id <string>	# Catalog ID and name of the database.
status.atProvider.locationUri <string>	# Location of the database (for example, an HDFS path).
status.atProvider.parameters <map[string]string>	# List of key-value pairs that define parameters and properties of the database.
status.atProvider.region <string>	# Region where this resource will be managed. Defaults to the Region set in the provider configuration. Region is the region you'd like your resource to be created in.
status.atProvider.tags <map[string]string>	# Key-value map of resource tags.
status.atProvider.tagsAll <map[string]string>	# A map of tags assigned to the resource, including those inherited from the provider default_tags configuration block.
status.atProvider.targetDatabase <object>	# Configuration block for a target database for resource linking. See target_database below.
status.atProvider.targetDatabase.catalogId <string>	# ID of the Data Catalog in which the database resides.
status.atProvider.targetDatabase.databaseName <string>	# Name of the catalog database.
status.atProvider.targetDatabase.region <string>	# Region of the target database.
status.conditions <[]object>	# Conditions of the resource.
status.conditions[].lastTransitionTime <string> (required) format=date-time	# LastTransitionTime is the last time this condition transitioned from one status to another.
status.conditions[].message <string>	# A Message containing details about this condition's last transition from one status to another, if any.
status.conditions[].observedGeneration <integer> format=int64	# ObservedGeneration represents the .metadata.generation that the condition was set based upon. For instance, if .metadata.generation is currently 12, but the .status.conditions[x].observedGeneration is 9, the condition is out of date with respect to the current state of the instance.
status.conditions[].reason <string> (required)	# A Reason for this condition's last transition from one status to another.
status.conditions[].status <string> (required)	# Status of this condition; is it currently True, False, or Unknown?
status.conditions[].type <string> (required)	# Type of this condition. At most one of each condition type may apply to a resource at any point in time.
status.observedGeneration <integer> format=int64	# ObservedGeneration is the latest metadata.generation which resulted in either a ready state, or stalled due to error it can not recover from without human intervention.
