# schema source: Upbound AWS Provider v2.6.0 https://github.com/crossplane-contrib/provider-upjet-aws
apiVersion <string> enum=opensearch.aws.m.upbound.io/v1beta1
kind <string> enum=Domain
metadata.name <string> (required)
metadata.namespace <string> (required)
spec <object> (required)	# DomainSpec defines the desired state of Domain
spec.forProvider <object> (required)
spec.forProvider.advancedOptions <map[string]string>	# Key-value string pairs to specify advanced configuration options.
spec.forProvider.advancedSecurityOptions <object>	# Configuration block for fine-grained access control. Detailed below.
spec.forProvider.advancedSecurityOptions.anonymousAuthEnabled <boolean>	# Whether Anonymous auth is enabled. Enables fine-grained access control on an existing domain. Ignored unless advanced_security_options are enabled. Can only be enabled on an existing domain.
spec.forProvider.advancedSecurityOptions.enabled <boolean>	# Whether advanced security is enabled.
spec.forProvider.advancedSecurityOptions.internalUserDatabaseEnabled <boolean>	# Whether the internal user database is enabled. Default is false.
spec.forProvider.advancedSecurityOptions.jwtOptions <object>	# Configuration block for JWT authentication. Requires OpenSearch 2.11 or later. Detailed below.
spec.forProvider.advancedSecurityOptions.jwtOptions.enabled <boolean>	# Whether JWT authentication is enabled.
spec.forProvider.advancedSecurityOptions.jwtOptions.publicKey <string>	# PEM-encoded public key used to verify JWT signatures.
spec.forProvider.advancedSecurityOptions.jwtOptions.rolesKey <string>	# Element of the JWT assertion to use for roles. Default is roles.
spec.forProvider.advancedSecurityOptions.jwtOptions.subjectKey <string>	# Element of the JWT assertion to use for the user name. Default is sub.
spec.forProvider.advancedSecurityOptions.masterUserOptions <object>	# Configuration block for the main user. Detailed below.
spec.forProvider.advancedSecurityOptions.masterUserOptions.masterUserArn <string>	# ARN for the main user. Only specify if internal_user_database_enabled is not set or set to false.
spec.forProvider.advancedSecurityOptions.masterUserOptions.masterUserName <string>	# Main user's username, which is stored in the Amazon OpenSearch Service domain's internal database. Only specify if internal_user_database_enabled is set to true.
spec.forProvider.advancedSecurityOptions.masterUserOptions.masterUserPasswordSecretRef <object>	# Main user's password, which is stored in the Amazon OpenSearch Service domain's internal database. Only specify if internal_user_database_enabled is set to true.
spec.forProvider.advancedSecurityOptions.masterUserOptions.masterUserPasswordSecretRef.key <string> (required)
spec.forProvider.advancedSecurityOptions.masterUserOptions.masterUserPasswordSecretRef.name <string> (required)	# Name of the secret.
spec.forProvider.aimlOptions <object>	# Configuration block for parameters required to enable all machine learning features. Detailed below.
spec.forProvider.aimlOptions.naturalLanguageQueryGenerationOptions <object>	# Configuration block for parameters required for natural language query generation on the specified domain.
spec.forProvider.aimlOptions.naturalLanguageQueryGenerationOptions.desiredState <string>	# The desired state of the natural language query generation feature. Valid values are ENABLED and DISABLED.
spec.forProvider.aimlOptions.s3VectorsEngine <object>	# Configuration block for parameters required to enable S3 vectors engine features on the specified domain.
spec.forProvider.aimlOptions.s3VectorsEngine.enabled <boolean>	# Enables S3 vectors engine features.
spec.forProvider.aimlOptions.serverlessVectorAcceleration <object>	# Configuration block for parameters required to enable GPU-accelerated vector search on the specified domain.
spec.forProvider.aimlOptions.serverlessVectorAcceleration.enabled <boolean>	# Enables GPU-accelerated vector search for improved performance on vector workloads.
spec.forProvider.autoTuneOptions <object>	# Configuration block for the Auto-Tune options of the domain. Detailed below.
spec.forProvider.autoTuneOptions.desiredState <string>	# Auto-Tune desired state for the domain. Valid values: ENABLED or DISABLED.
spec.forProvider.autoTuneOptions.maintenanceSchedule <[]object>	# Configuration block for Auto-Tune maintenance windows. Can be specified multiple times for each maintenance window. Detailed below.
spec.forProvider.autoTuneOptions.maintenanceSchedule[].cronExpressionForRecurrence <string>	# A cron expression specifying the recurrence pattern for an Auto-Tune maintenance schedule.
spec.forProvider.autoTuneOptions.maintenanceSchedule[].duration <object>	# Configuration block for the duration of the Auto-Tune maintenance window. Detailed below.
spec.forProvider.autoTuneOptions.maintenanceSchedule[].duration.unit <string>	# Unit of time specifying the duration of an Auto-Tune maintenance window. Valid values: HOURS.
spec.forProvider.autoTuneOptions.maintenanceSchedule[].duration.value <number>	# An integer specifying the value of the duration of an Auto-Tune maintenance window.
spec.forProvider.autoTuneOptions.maintenanceSchedule[].startAt <string>	# Date and time at which to start the Auto-Tune maintenance schedule in RFC3339 format.
spec.forProvider.autoTuneOptions.rollbackOnDisable <string>	# Whether to roll back to default Auto-Tune settings when disabling Auto-Tune. Valid values: DEFAULT_ROLLBACK or NO_ROLLBACK.
spec.forProvider.autoTuneOptions.useOffPeakWindow <boolean>	# Whether to schedule Auto-Tune optimizations that require blue/green deployments during the domain's configured daily off-peak window. Defaults to false.
spec.forProvider.clusterConfig <object>	# Configuration block for the cluster of the domain. Detailed below.
spec.forProvider.clusterConfig.coldStorageOptions <object>	# Configuration block containing cold storage configuration. Detailed below.
spec.forProvider.clusterConfig.coldStorageOptions.enabled <boolean>	# Boolean to enable cold storage for an OpenSearch domain. Defaults to false. Master and ultrawarm nodes must be enabled for cold storage.
spec.forProvider.clusterConfig.dedicatedMasterCount <number>	# Number of dedicated main nodes in the cluster.
spec.forProvider.clusterConfig.dedicatedMasterEnabled <boolean>	# Whether dedicated main nodes are enabled for the cluster.
spec.forProvider.clusterConfig.dedicatedMasterType <string>	# Instance type of the dedicated main nodes in the cluster.
spec.forProvider.clusterConfig.instanceCount <number>	# Number of instances in the cluster.
spec.forProvider.clusterConfig.instanceType <string>	# Instance type of data nodes in the cluster.
spec.forProvider.clusterConfig.multiAzWithStandbyEnabled <boolean>	# Whether a multi-AZ domain is turned on with a standby AZ. For more information, see Configuring a multi-AZ domain in Amazon OpenSearch Service.
spec.forProvider.clusterConfig.nodeOptions <[]object>	# List of node options for the domain.
spec.forProvider.clusterConfig.nodeOptions[].nodeConfig <object>	# Container to specify sizing of a node type.
spec.forProvider.clusterConfig.nodeOptions[].nodeConfig.count <number>	# Number of nodes of a particular node type in the cluster.
spec.forProvider.clusterConfig.nodeOptions[].nodeConfig.enabled <boolean>	# Whether a particular node type is enabled.
spec.forProvider.clusterConfig.nodeOptions[].nodeConfig.type <string>	# The instance type of a particular node type in the cluster.
spec.forProvider.clusterConfig.nodeOptions[].nodeType <string>	# Type of node this configuration describes. Valid values: coordinator.
spec.forProvider.clusterConfig.warmCount <number>	# Number of warm nodes in the cluster. Valid values are between 2 and 150. warm_count can be only and must be set when warm_enabled is set to true.
spec.forProvider.clusterConfig.warmEnabled <boolean>	# Whether to enable warm storage.
spec.forProvider.clusterConfig.warmType <string>	# Instance type for the OpenSearch cluster's warm nodes. Valid values are ultrawarm1.medium.search, ultrawarm1.large.search and ultrawarm1.xlarge.search. warm_type can be only and must be set when warm_enabled is set to true.
spec.forProvider.clusterConfig.zoneAwarenessConfig <object>	# Configuration block containing zone awareness settings. Detailed below.
spec.forProvider.clusterConfig.zoneAwarenessConfig.availabilityZoneCount <number>	# Number of Availability Zones for the domain to use with zone_awareness_enabled. Defaults to 2. Valid values: 2 or 3.
spec.forProvider.clusterConfig.zoneAwarenessEnabled <boolean>	# Whether zone awareness is enabled, set to true for multi-az deployment. To enable awareness with three Availability Zones, the availability_zone_count within the zone_awareness_config must be set to 3.
spec.forProvider.cognitoOptions <object>	# Configuration block for authenticating dashboard with Cognito. Detailed below.
spec.forProvider.cognitoOptions.enabled <boolean>	# Whether Amazon Cognito authentication with Dashboard is enabled or not. Default is false.
spec.forProvider.cognitoOptions.identityPoolId <string>	# ID of the Cognito Identity Pool to use.
spec.forProvider.cognitoOptions.roleArn <string>	# ARN of the IAM role that has the AmazonOpenSearchServiceCognitoAccess policy attached.
spec.forProvider.cognitoOptions.userPoolId <string>	# ID of the Cognito User Pool to use.
spec.forProvider.domainEndpointOptions <object>	# Configuration block for domain endpoint HTTP(S) related options. Detailed below.
spec.forProvider.domainEndpointOptions.customEndpoint <string>	# Fully qualified domain for your custom endpoint.
spec.forProvider.domainEndpointOptions.customEndpointCertificateArn <string>	# ACM certificate ARN for your custom endpoint.
spec.forProvider.domainEndpointOptions.customEndpointEnabled <boolean>	# Whether to enable custom endpoint for the OpenSearch domain.
spec.forProvider.domainEndpointOptions.enforceHttps <boolean>	# Whether or not to require HTTPS. Defaults to true.
spec.forProvider.domainEndpointOptions.tlsSecurityPolicy <string>	# Name of the TLS security policy that needs to be applied to the HTTPS endpoint. For valid values, refer to the AWS documentation.
spec.forProvider.domainName <string>	# Name of the domain.
spec.forProvider.ebsOptions <object>	# Configuration block for EBS related options, may be required based on chosen instance size. Detailed below.
spec.forProvider.ebsOptions.ebsEnabled <boolean>	# Whether EBS volumes are attached to data nodes in the domain.
spec.forProvider.ebsOptions.iops <number>	# Baseline input/output (I/O) performance of EBS volumes attached to data nodes. Applicable only for the GP3 and Provisioned IOPS EBS volume types.
spec.forProvider.ebsOptions.throughput <number>	# Specifies the throughput (in MiB/s) of the EBS volumes attached to data nodes. Applicable only for the gp3 volume type.
spec.forProvider.ebsOptions.volumeSize <number>	# Size of EBS volumes attached to data nodes (in GiB).
spec.forProvider.ebsOptions.volumeType <string>	# Type of EBS volumes attached to data nodes.
spec.forProvider.encryptAtRest <object>	# Configuration block for encrypt at rest options. Only available for certain instance types. Detailed below.
spec.forProvider.encryptAtRest.enabled <boolean>	# Whether to enable encryption at rest. If the encrypt_at_rest block is not provided then this defaults to false. Enabling encryption on new domains requires an engine_version of OpenSearch_X.Y or Elasticsearch_5.1 or greater.
spec.forProvider.encryptAtRest.kmsKeyId <string>	# KMS key ARN to encrypt the Elasticsearch domain with. If not specified then it defaults to using the aws/es service KMS key. Note that KMS will accept a KMS key ID but will return the key ARN.
spec.forProvider.encryptAtRest.kmsKeyIdRef <object>	# Reference to a Key in kms to populate kmsKeyId.
spec.forProvider.encryptAtRest.kmsKeyIdRef.name <string> (required)	# Name of the referenced object.
spec.forProvider.encryptAtRest.kmsKeyIdRef.namespace <string>	# Namespace of the referenced object
spec.forProvider.encryptAtRest.kmsKeyIdRef.policy <object>	# Policies for referencing.
spec.forProvider.encryptAtRest.kmsKeyIdRef.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.forProvider.encryptAtRest.kmsKeyIdRef.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.forProvider.encryptAtRest.kmsKeyIdSelector <object>	# Selector for a Key in kms to populate kmsKeyId.
spec.forProvider.encryptAtRest.kmsKeyIdSelector.matchControllerRef <boolean>	# MatchControllerRef ensures an object with the same controller reference as the selecting object is selected.
spec.forProvider.encryptAtRest.kmsKeyIdSelector.matchLabels <map[string]string>	# MatchLabels ensures an object with matching labels is selected.
spec.forProvider.encryptAtRest.kmsKeyIdSelector.namespace <string>	# Namespace for the selector
spec.forProvider.encryptAtRest.kmsKeyIdSelector.policy <object>	# Policies for selection.
spec.forProvider.encryptAtRest.kmsKeyIdSelector.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.forProvider.encryptAtRest.kmsKeyIdSelector.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.forProvider.engineVersion <string>	# while Elasticsearch has elasticsearch_version
spec.forProvider.identityCenterOptions <object>	# Configuration block for enabling and managing IAM Identity Center integration within a domain. Detailed below.
spec.forProvider.identityCenterOptions.enabledApiAccess <boolean>	# is set to true.
spec.forProvider.identityCenterOptions.identityCenterInstanceArn <string>	# ARN of the domain.
spec.forProvider.identityCenterOptions.rolesKey <string>	# Element of the JWT assertion to use for roles. Default is roles.
spec.forProvider.identityCenterOptions.subjectKey <string>	# Element of the JWT assertion to use for the user name. Default is sub.
spec.forProvider.ipAddressType <string>	# The IP address type for the endpoint. Valid values are ipv4 and dualstack.
spec.forProvider.logPublishingOptions <[]object>	# Configuration block for publishing slow and application logs to CloudWatch Logs. This block can be declared multiple times, for each log_type, within the same resource. Detailed below.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArn <string>	# ARN of the Cloudwatch log group to which log needs to be published.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnRef <object>	# Reference to a Group in cloudwatchlogs to populate cloudwatchLogGroupArn.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.name <string> (required)	# Name of the referenced object.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.namespace <string>	# Namespace of the referenced object
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.policy <object>	# Policies for referencing.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnRef.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector <object>	# Selector for a Group in cloudwatchlogs to populate cloudwatchLogGroupArn.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.matchControllerRef <boolean>	# MatchControllerRef ensures an object with the same controller reference as the selecting object is selected.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.matchLabels <map[string]string>	# MatchLabels ensures an object with matching labels is selected.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.namespace <string>	# Namespace for the selector
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.policy <object>	# Policies for selection.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
spec.forProvider.logPublishingOptions[].cloudwatchLogGroupArnSelector.policy.resolve <string> enum=Always|IfNotPresent	# Resolve specifies when this reference should be resolved. The default is 'IfNotPresent', which will attempt to resolve the reference only when the corresponding field is not present. Use 'Always' to resolve the reference on every reconcile.
spec.forProvider.logPublishingOptions[].enabled <boolean>	# Whether given log publishing option is enabled or not.
spec.forProvider.logPublishingOptions[].logType <string>	# Type of OpenSearch log. Valid values: INDEX_SLOW_LOGS, SEARCH_SLOW_LOGS, ES_APPLICATION_LOGS, AUDIT_LOGS.
spec.forProvider.nodeToNodeEncryption <object>	# Configuration block for node-to-node encryption options. Detailed below.
spec.forProvider.nodeToNodeEncryption.enabled <boolean>	# Whether to enable node-to-node encryption. If the node_to_node_encryption block is not provided then this defaults to false. Enabling node-to-node encryption of a new domain requires an engine_version of OpenSearch_X.Y or Elasticsearch_6.0 or greater.
spec.forProvider.offPeakWindowOptions <object>	# Configuration to add Off Peak update options. (documentation). Detailed below.
spec.forProvider.offPeakWindowOptions.enabled <boolean>	# Enabled disabled toggle for off-peak update window.
spec.forProvider.offPeakWindowOptions.offPeakWindow <object>
spec.forProvider.offPeakWindowOptions.offPeakWindow.windowStartTime <object>	# 10h window for updates
spec.forProvider.offPeakWindowOptions.offPeakWindow.windowStartTime.hours <number>	# Starting hour of the 10-hour window for updates
spec.forProvider.offPeakWindowOptions.offPeakWindow.windowStartTime.minutes <number>	# Starting minute of the 10-hour window for updates
spec.forProvider.region <string> (required)	# Region where this resource will be managed. Defaults to the Region set in the provider configuration. Region is the region you'd like your resource to be created in.
spec.forProvider.snapshotOptions <object>	# Configuration block for snapshot related options. Detailed below. DEPRECATED. For domains running OpenSearch 5.3 and later, Amazon OpenSearch takes hourly automated snapshots, making this setting irrelevant. For domains running earlier versions, OpenSearch takes daily automated snapshots.
spec.forProvider.snapshotOptions.automatedSnapshotStartHour <number>	# Hour during which the service takes an automated daily snapshot of the indices in the domain.
spec.forProvider.softwareUpdateOptions <object>	# Software update options for the domain. Detailed below.
spec.forProvider.softwareUpdateOptions.autoSoftwareUpdateEnabled <boolean>	# Whether automatic service software updates are enabled for the domain. Defaults to false.
spec.forProvider.tags <map[string]string>	# Key-value map of resource tags.
spec.forProvider.vpcOptions <object>	# Configuration block for VPC related options. Adding or removing this configuration forces a new resource (documentation). Detailed below.
spec.forProvider.vpcOptions.securityGroupIdRefs <[]object>	# References to SecurityGroup in ec2 to populate securityGroupIds.
spec.forProvider.vpcOptions.securityGroupIdRefs[].name <string> (required)	# Name of the referenced object.
spec.forProvider.vpcOptions.securityGroupIdRefs[].namespace <string>	# Namespace of the referenced object
spec.forProvider.vpcOptions.securityGroupIdRefs[].policy <object>	# Policies for referencing.
spec.forProvider.vpcOptions.securityGroupIdRefs[].policy.resolution <string> enum=Required|Optional default="Required"	# Resolution specifies whether resolution of this reference is required. The default is 'Required', which means the reconcile will fail if the reference cannot be resolved. 'Optional' means this reference will be a no-op if it cannot be resolved.
