# schema source: GCP Config Connector v1.152.0 https://github.com/GoogleCloudPlatform/k8s-config-connector
apiVersion <string> enum=bigquery.cnrm.cloud.google.com/v1beta1
kind <string> enum=BigQueryJob
metadata.name <string> (required)
metadata.namespace <string> (required)
spec <object>
spec.copy <object>	# Immutable. Copies a table.
spec.copy.createDisposition <string>	# Immutable. Specifies whether the job is allowed to create new tables. The following values are supported: CREATE_IF_NEEDED: If the table does not exist, BigQuery creates the table. CREATE_NEVER: The table must already exist. If it does not, a 'notFound' error is returned in the job result. Creation, truncation and append actions occur as one atomic update upon job completion Default value: "CREATE_NEVER" Possible values: ["CREATE_IF_NEEDED", "CREATE_NEVER"].
spec.copy.destinationEncryptionConfiguration <object>	# Immutable. Custom encryption configuration (e.g., Cloud KMS keys).
spec.copy.destinationEncryptionConfiguration.kmsKeyRef <object> (required)	# Describes the Cloud KMS encryption key that will be used to protect destination BigQuery table. The BigQuery Service Account associated with your project requires access to this encryption key.
spec.copy.destinationEncryptionConfiguration.kmsKeyRef.external <string>	# Allowed value: The `selfLink` field of a `KMSCryptoKey` resource.
spec.copy.destinationEncryptionConfiguration.kmsKeyRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.copy.destinationEncryptionConfiguration.kmsKeyRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.copy.destinationEncryptionConfiguration.kmsKeyVersion <string>	# Describes the Cloud KMS encryption key version used to protect destination BigQuery table.
spec.copy.destinationTable <object>	# Immutable. The destination table.
spec.copy.destinationTable.tableRef <object> (required)	# A reference to the table.
spec.copy.destinationTable.tableRef.external <string>	# Allowed value: The `selfLink` field of a `BigQueryTable` resource.
spec.copy.destinationTable.tableRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.copy.destinationTable.tableRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.copy.sourceTables <[]object> (required)	# Immutable. Source tables to copy.
spec.copy.sourceTables[].tableRef <object> (required)	# A reference to the table.
spec.copy.sourceTables[].tableRef.external <string>	# Allowed value: The `selfLink` field of a `BigQueryTable` resource.
spec.copy.sourceTables[].tableRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.copy.sourceTables[].tableRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.copy.writeDisposition <string>	# Immutable. Specifies the action that occurs if the destination table already exists. The following values are supported: WRITE_TRUNCATE: If the table already exists, BigQuery overwrites the table data and uses the schema from the query result. WRITE_APPEND: If the table already exists, BigQuery appends the data to the table. WRITE_EMPTY: If the table already exists and contains data, a 'duplicate' error is returned in the job result. Each action is atomic and only occurs if BigQuery is able to complete the job successfully. Creation, truncation and append actions occur as one atomic update upon job completion. Default value: "WRITE_EMPTY" Possible values: ["WRITE_TRUNCATE", "WRITE_APPEND", "WRITE_EMPTY"].
spec.extract <object>	# Immutable. Configures an extract job.
spec.extract.compression <string>	# Immutable. The compression type to use for exported files. Possible values include GZIP, DEFLATE, SNAPPY, and NONE. The default value is NONE. DEFLATE and SNAPPY are only supported for Avro.
spec.extract.destinationFormat <string>	# Immutable. The exported file format. Possible values include CSV, NEWLINE_DELIMITED_JSON and AVRO for tables and SAVED_MODEL for models. The default value for tables is CSV. Tables with nested or repeated fields cannot be exported as CSV. The default value for models is SAVED_MODEL.
spec.extract.destinationUris <[]string> (required)	# Immutable. A list of fully-qualified Google Cloud Storage URIs where the extracted table should be written.
spec.extract.fieldDelimiter <string>	# Immutable. When extracting data in CSV format, this defines the delimiter to use between fields in the exported data. Default is ','.
spec.extract.printHeader <boolean>	# Immutable. Whether to print out a header row in the results. Default is true.
spec.extract.sourceTable <object>	# Immutable. A reference to the table being exported.
spec.extract.sourceTable.tableRef <object> (required)	# A reference to the table.
spec.extract.sourceTable.tableRef.external <string>	# Allowed value: The `selfLink` field of a `BigQueryTable` resource.
spec.extract.sourceTable.tableRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.extract.sourceTable.tableRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.extract.useAvroLogicalTypes <boolean>	# Immutable. Whether to use logical types when extracting to AVRO format.
spec.jobTimeoutMs <string>	# Immutable. Job timeout in milliseconds. If this time limit is exceeded, BigQuery may attempt to terminate the job.
spec.load <object>	# Immutable. Configures a load job.
spec.load.allowJaggedRows <boolean>	# Immutable. Accept rows that are missing trailing optional columns. The missing values are treated as nulls. If false, records with missing trailing columns are treated as bad records, and if there are too many bad records, an invalid error is returned in the job result. The default value is false. Only applicable to CSV, ignored for other formats.
spec.load.allowQuotedNewlines <boolean>	# Immutable. Indicates if BigQuery should allow quoted data sections that contain newline characters in a CSV file. The default value is false.
spec.load.autodetect <boolean>	# Immutable. Indicates if we should automatically infer the options and schema for CSV and JSON sources.
spec.load.createDisposition <string>	# Immutable. Specifies whether the job is allowed to create new tables. The following values are supported: CREATE_IF_NEEDED: If the table does not exist, BigQuery creates the table. CREATE_NEVER: The table must already exist. If it does not, a 'notFound' error is returned in the job result. Creation, truncation and append actions occur as one atomic update upon job completion Default value: "CREATE_NEVER" Possible values: ["CREATE_IF_NEEDED", "CREATE_NEVER"].
spec.load.destinationEncryptionConfiguration <object>	# Immutable. Custom encryption configuration (e.g., Cloud KMS keys).
spec.load.destinationEncryptionConfiguration.kmsKeyRef <object> (required)	# Describes the Cloud KMS encryption key that will be used to protect destination BigQuery table. The BigQuery Service Account associated with your project requires access to this encryption key.
spec.load.destinationEncryptionConfiguration.kmsKeyRef.external <string>	# Allowed value: The `selfLink` field of a `KMSCryptoKey` resource.
spec.load.destinationEncryptionConfiguration.kmsKeyRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.load.destinationEncryptionConfiguration.kmsKeyRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.load.destinationEncryptionConfiguration.kmsKeyVersion <string>	# Describes the Cloud KMS encryption key version used to protect destination BigQuery table.
spec.load.destinationTable <object> (required)	# Immutable. The destination table to load the data into.
spec.load.destinationTable.tableRef <object> (required)	# A reference to the table.
spec.load.destinationTable.tableRef.external <string>	# Allowed value: The `selfLink` field of a `BigQueryTable` resource.
spec.load.destinationTable.tableRef.name <string>	# Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
spec.load.destinationTable.tableRef.namespace <string>	# Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
spec.load.encoding <string>	# Immutable. The character encoding of the data. The supported values are UTF-8 or ISO-8859-1. The default value is UTF-8. BigQuery decodes the data after the raw, binary data has been split using the values of the quote and fieldDelimiter properties.
spec.load.fieldDelimiter <string>	# Immutable. The separator for fields in a CSV file. The separator can be any ISO-8859-1 single-byte character. To use a character in the range 128-255, you must encode the character as UTF8. BigQuery converts the string to ISO-8859-1 encoding, and then uses the first byte of the encoded string to split the data in its raw, binary state. BigQuery also supports the escape sequence "\t" to specify a tab separator. The default value is a comma (',').
spec.load.ignoreUnknownValues <boolean>	# Immutable. Indicates if BigQuery should allow extra values that are not represented in the table schema. If true, the extra values are ignored. If false, records with extra columns are treated as bad records, and if there are too many bad records, an invalid error is returned in the job result. The default value is false. The sourceFormat property determines what BigQuery treats as an extra value: CSV: Trailing columns JSON: Named values that don't match any column names.
spec.load.jsonExtension <string>	# Immutable. If sourceFormat is set to newline-delimited JSON, indicates whether it should be processed as a JSON variant such as GeoJSON. For a sourceFormat other than JSON, omit this field. If the sourceFormat is newline-delimited JSON: - for newline-delimited GeoJSON: set to GEOJSON.
spec.load.maxBadRecords <integer>	# Immutable. The maximum number of bad records that BigQuery can ignore when running the job. If the number of bad records exceeds this value, an invalid error is returned in the job result. The default value is 0, which requires that all records are valid.
spec.load.nullMarker <string>	# Immutable. Specifies a string that represents a null value in a CSV file. For example, if you specify "\N", BigQuery interprets "\N" as a null value when loading a CSV file. The default value is the empty string. If you set this property to a custom value, BigQuery throws an error if an empty string is present for all data types except for STRING and BYTE. For STRING and BYTE columns, BigQuery interprets the empty string as an empty value.
spec.load.parquetOptions <object>	# Immutable. Parquet Options for load and make external tables.
spec.load.parquetOptions.enableListInference <boolean>	# Immutable. If sourceFormat is set to PARQUET, indicates whether to use schema inference specifically for Parquet LIST logical type.
spec.load.parquetOptions.enumAsString <boolean>	# Immutable. If sourceFormat is set to PARQUET, indicates whether to infer Parquet ENUM logical type as STRING instead of BYTES by default.
spec.load.projectionFields <[]string>	# Immutable. If sourceFormat is set to "DATASTORE_BACKUP", indicates which entity properties to load into BigQuery from a Cloud Datastore backup. Property names are case sensitive and must be top-level properties. If no properties are specified, BigQuery loads all properties. If any named property isn't found in the Cloud Datastore backup, an invalid error is returned in the job result.
spec.load.quote <string>	# Immutable. The value that is used to quote data sections in a CSV file. BigQuery converts the string to ISO-8859-1 encoding, and then uses the first byte of the encoded string to split the data in its raw, binary state. The default value is a double-quote ('"'). If your data does not contain quoted sections, set the property value to an empty string. If your data contains quoted newline characters, you must also set the allowQuotedNewlines property to true.
spec.load.schemaUpdateOptions <[]string>	# Immutable. Allows the schema of the destination table to be updated as a side effect of the load job if a schema is autodetected or supplied in the job configuration. Schema update options are supported in two cases: when writeDisposition is WRITE_APPEND; when writeDisposition is WRITE_TRUNCATE and the destination table is a partition of a table, specified by partition decorators. For normal tables, WRITE_TRUNCATE will always overwrite the schema. One or more of the following values are specified: ALLOW_FIELD_ADDITION: allow adding a nullable field to the schema. ALLOW_FIELD_RELAXATION: allow relaxing a required field in the original schema to nullable.
spec.load.skipLeadingRows <integer>	# Immutable. The number of rows at the top of a CSV file that BigQuery will skip when loading the data. The default value is 0. This property is useful if you have header rows in the file that should be skipped. When autodetect is on, the behavior is the following: skipLeadingRows unspecified - Autodetect tries to detect headers in the first row. If they are not detected, the row is read as data. Otherwise data is read starting from the second row. skipLeadingRows is 0 - Instructs autodetect that there are no headers and data should be read starting from the first row. skipLeadingRows = N > 0 - Autodetect skips N-1 rows and tries to detect headers in row N. If headers are not detected, row N is just skipped. Otherwise row N is used to extract column names for the detected schema.
spec.load.sourceFormat <string>	# Immutable. The format of the data files. For CSV files, specify "CSV". For datastore backups, specify "DATASTORE_BACKUP". For newline-delimited JSON, specify "NEWLINE_DELIMITED_JSON". For Avro, specify "AVRO". For parquet, specify "PARQUET". For orc, specify "ORC". [Beta] For Bigtable, specify "BIGTABLE". The default value is CSV.
spec.load.sourceUris <[]string> (required)	# Immutable. The fully-qualified URIs that point to your data in Google Cloud. For Google Cloud Storage URIs: Each URI can contain one '\*' wildcard character and it must come after the 'bucket' name. Size limits related to load jobs apply to external data sources. For Google Cloud Bigtable URIs: Exactly one URI can be specified and it has be a fully specified and valid HTTPS URL for a Google Cloud Bigtable table. For Google Cloud Datastore backups: Exactly one URI can be specified. Also, the '\*' wildcard character is not allowed.
spec.load.timePartitioning <object>	# Immutable. Time-based partitioning specification for the destination table.
spec.load.timePartitioning.expirationMs <string>	# Immutable. Number of milliseconds for which to keep the storage for a partition. A wrapper is used here because 0 is an invalid value.
spec.load.timePartitioning.field <string>	# Immutable. If not set, the table is partitioned by pseudo column '_PARTITIONTIME'; if set, the table is partitioned by this field. The field must be a top-level TIMESTAMP or DATE field. Its mode must be NULLABLE or REQUIRED. A wrapper is used here because an empty string is an invalid value.
spec.load.timePartitioning.type <string> (required)	# Immutable. The only type supported is DAY, which will generate one partition per day. Providing an empty string used to cause an error, but in OnePlatform the field will be treated as unset.
spec.load.writeDisposition <string>	# Immutable. Specifies the action that occurs if the destination table already exists. The following values are supported: WRITE_TRUNCATE: If the table already exists, BigQuery overwrites the table data and uses the schema from the query result. WRITE_APPEND: If the table already exists, BigQuery appends the data to the table. WRITE_EMPTY: If the table already exists and contains data, a 'duplicate' error is returned in the job result. Each action is atomic and only occurs if BigQuery is able to complete the job successfully. Creation, truncation and append actions occur as one atomic update upon job completion. Default value: "WRITE_EMPTY" Possible values: ["WRITE_TRUNCATE", "WRITE_APPEND", "WRITE_EMPTY"].
spec.location <string>	# Immutable. The geographic location of the job. The default value is US.
spec.query <object>	# Immutable. Configures a query job.
